Comment,Designator,Package,JLCPCB Part #（optional）
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
1uF,C3,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
47k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
270,"R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
100k,"R11,R10",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
1k,"R16,R6,R1",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
LED,TX1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C84256
LED,RX1,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C2296
4.7uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
Arduino_Nano_Every,A1,Arduino_Nano_WithMountingHoles,
10k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2k2,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
3k9,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
8k2,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
2N7000,Q1,TO-92_Inline,C9114
